marque;nom;puissance;longueur;nbPlaces;nbPortes;couleur;occasion;prix;BonusMalus;Rejets;CoutEnergie
saab; 9.3 1.8T;150; longue;5;5; blanc; true;27020; 6137.231454005935; 139.27231121281466; 561.4645308924485
saab; 9.3 1.8T;150; longue;5;5; rouge; true;27020; 6137.231454005935; 139.27231121281466; 561.4645308924485
saab; 9.3 1.8T;150; longue;5;5; gris; true;27020; 6137.231454005935; 139.27231121281466; 561.4645308924485
saab; 9.3 1.8T;150; longue;5;5; bleu; true;27020; 6137.231454005935; 139.27231121281466; 561.4645308924485
saab; 9.3 1.8T;150; longue;5;5; noir; true;27020; 6137.231454005935; 139.27231121281466; 561.4645308924485
saab; 9.3 1.8T;150; longue;5;5; gris; false;38600; 6137.231454005935; 139.27231121281466; 561.4645308924485
saab; 9.3 1.8T;150; longue;5;5; bleu; false;38600; 6137.231454005935; 139.27231121281466; 561.4645308924485
saab; 9.3 1.8T;150; longue;5;5; noir; false;38600; 6137.231454005935; 139.27231121281466; 561.4645308924485
saab; 9.3 1.8T;150; longue;5;5; rouge; false;38600; 6137.231454005935; 139.27231121281466; 561.4645308924485
saab; 9.3 1.8T;150; longue;5;5; blanc; false;38600; 6137.231454005935; 139.27231121281466; 561.4645308924485
lancia; Ypsilon 1.4 16V;90; courte;5;3; rouge; false;13500; 6137.231454005935; 139.27231121281466; 561.4645308924485
lancia; Ypsilon 1.4 16V;90; courte;5;3; bleu; true;9450; 6137.231454005935; 139.27231121281466; 561.4645308924485
lancia; Ypsilon 1.4 16V;90; courte;5;3; gris; false;13500; 6137.231454005935; 139.27231121281466; 561.4645308924485
lancia; Ypsilon 1.4 16V;90; courte;5;3; bleu; false;13500; 6137.231454005935; 139.27231121281466; 561.4645308924485
lancia; Ypsilon 1.4 16V;90; courte;5;3; noir; false;13500; 6137.231454005935; 139.27231121281466; 561.4645308924485
lancia; Ypsilon 1.4 16V;90; courte;5;3; rouge; true;9450; 6137.231454005935; 139.27231121281466; 561.4645308924485
lancia; Ypsilon 1.4 16V;90; courte;5;3; gris; true;9450; 6137.231454005935; 139.27231121281466; 561.4645308924485
lancia; Ypsilon 1.4 16V;90; courte;5;3; blanc; false;13500; 6137.231454005935; 139.27231121281466; 561.4645308924485
lancia; Ypsilon 1.4 16V;90; courte;5;3; blanc; true;9450; 6137.231454005935; 139.27231121281466; 561.4645308924485
lancia; Ypsilon 1.4 16V;90; courte;5;3; noir; true;9450; 6137.231454005935; 139.27231121281466; 561.4645308924485
kia; Picanto 1.1;65; courte;5;5; blanc; false;8990; -6000.0; 10.333333333333334; 157.66666666666666
kia; Picanto 1.1;65; courte;5;5; gris; false;8990; -6000.0; 10.333333333333334; 157.66666666666666
kia; Picanto 1.1;65; courte;5;5; noir; false;8990; -6000.0; 10.333333333333334; 157.66666666666666
kia; Picanto 1.1;65; courte;5;5; rouge; false;8990; -6000.0; 10.333333333333334; 157.66666666666666
kia; Picanto 1.1;65; courte;5;5; bleu; false;8990; -6000.0; 10.333333333333334; 157.66666666666666
